Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
kemalpm-openai-whisper-large-v3,lockfile,authlib,1.2.1,PyPI,GHSA-5357-c2jx-v7qh,HIGH,"CVE-2024-37568,PYSEC-2024-52","CWE-284,CWE-327,CWE-347",CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,"PYSEC-2024-52,GHSA-5357-c2jx-v7qh",
kemalpm-openai-whisper-large-v3,lockfile,authlib,1.2.1,PyPI,PYSEC-2024-52,,"CVE-2024-37568,GHSA-5357-c2jx-v7qh",,,"PYSEC-2024-52,GHSA-5357-c2jx-v7qh",
kemalpm-openai-whisper-large-v3,lockfile,jinja2,3.1.2,PyPI,GHSA-cpwx-vrp4-4pq7,MODERATE,CVE-2025-27516,CWE-1336,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-cpwx-vrp4-4pq7,
kemalpm-openai-whisper-large-v3,lockfile,jinja2,3.1.2,PyPI,GHSA-gmj6-6f8f-6699,MODERATE,CVE-2024-56201,CWE-150,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-gmj6-6f8f-6699,
kemalpm-openai-whisper-large-v3,lockfile,jinja2,3.1.2,PyPI,GHSA-h5c8-rqwp-cp95,MODERATE,CVE-2024-22195,CWE-79,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,GHSA-h5c8-rqwp-cp95,
kemalpm-openai-whisper-large-v3,lockfile,jinja2,3.1.2,PyPI,GHSA-h75v-3vvj-5mfj,MODERATE,"CGA-g5xx-83xq-8g5j,CVE-2024-34064",CWE-79,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,GHSA-h75v-3vvj-5mfj,
kemalpm-openai-whisper-large-v3,lockfile,jinja2,3.1.2,PyPI,GHSA-q2x7-8rv6-6q7h,MODERATE,CVE-2024-56326,CWE-693,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-q2x7-8rv6-6q7h,
kemalpm-openai-whisper-large-v3,lockfile,pillow,10.1.0,PyPI,GHSA-3f63-hfp8-52jq,CRITICAL,"BIT-pillow-2023-50447,CVE-2023-50447","CWE-94,CWE-95",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-3f63-hfp8-52jq,
kemalpm-openai-whisper-large-v3,lockfile,pillow,10.1.0,PyPI,GHSA-44wm-f244-xhp3,HIGH,"BIT-pillow-2024-28219,CVE-2024-28219","CWE-120,CWE-676,CWE-680",CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-44wm-f244-xhp3,
kemalpm-openai-whisper-large-v3,lockfile,aiohttp,3.9.1,PyPI,GHSA-5h86-8mv2-jq9f,HIGH,"CVE-2024-23334,PYSEC-2024-24",CWE-22,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,"PYSEC-2024-24,GHSA-5h86-8mv2-jq9f",
