Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
,lockfile,fiona,1.8.21,PyPI,GHSA-g4m4-9q4c-mfw6,HIGH,,CWE-400,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-g4m4-9q4c-mfw6,
,lockfile,fiona,1.8.21,PyPI,GHSA-q5fm-55c2-v6j9,CRITICAL,,"CWE-1395,CWE-190",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-q5fm-55c2-v6j9,
,lockfile,fiona,1.8.22,PyPI,GHSA-g4m4-9q4c-mfw6,HIGH,,CWE-400,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-g4m4-9q4c-mfw6,
,lockfile,fiona,1.8.22,PyPI,GHSA-q5fm-55c2-v6j9,CRITICAL,,"CWE-1395,CWE-190",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-q5fm-55c2-v6j9,
,lockfile,fiona,1.9.1,PyPI,GHSA-g4m4-9q4c-mfw6,HIGH,,CWE-400,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-g4m4-9q4c-mfw6,
,lockfile,fiona,1.9.1,PyPI,GHSA-q5fm-55c2-v6j9,CRITICAL,,"CWE-1395,CWE-190",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-q5fm-55c2-v6j9,
,lockfile,fiona,1.9.2,PyPI,GHSA-g4m4-9q4c-mfw6,HIGH,,CWE-400,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-g4m4-9q4c-mfw6,
,lockfile,fiona,1.9.2,PyPI,GHSA-q5fm-55c2-v6j9,CRITICAL,,"CWE-1395,CWE-190",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-q5fm-55c2-v6j9,
,lockfile,fiona,1.9.4,PyPI,GHSA-g4m4-9q4c-mfw6,HIGH,,CWE-400,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-g4m4-9q4c-mfw6,
,lockfile,fiona,1.9.4,PyPI,GHSA-q5fm-55c2-v6j9,CRITICAL,,"CWE-1395,CWE-190",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,GHSA-q5fm-55c2-v6j9,
,lockfile,invokeai,4.2.5,PyPI,GHSA-227r-w5j2-6243,CRITICAL,CVE-2024-11042,"CWE-20,CWE-22",CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,GHSA-227r-w5j2-6243,
,lockfile,invokeai,4.2.5,PyPI,GHSA-6f6x-f56q-5xgv,HIGH,CVE-2024-10821,CWE-400,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-6f6x-f56q-5xgv,
,lockfile,invokeai,4.2.5,PyPI,GHSA-ffh5-w482-c7m5,HIGH,CVE-2024-11043,CWE-400,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-ffh5-w482-c7m5,
,lockfile,owslib,0.27.2,PyPI,GHSA-8h9c-r582-mggc,HIGH,CVE-2023-27476,CWE-611,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:L/SC:N/SI:N/SA:N,GHSA-8h9c-r582-mggc,
,lockfile,pymysql,1.0.2,PyPI,GHSA-v9hf-5j83-6xpp,CRITICAL,CVE-2024-36039,CWE-89,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,GHSA-v9hf-5j83-6xpp,
,lockfile,pymysql,1.0.3,PyPI,GHSA-v9hf-5j83-6xpp,CRITICAL,CVE-2024-36039,CWE-89,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,GHSA-v9hf-5j83-6xpp,
,lockfile,pymysql,1.1.0,PyPI,GHSA-v9hf-5j83-6xpp,CRITICAL,CVE-2024-36039,CWE-89,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,GHSA-v9hf-5j83-6xpp,
,lockfile,pypdf2,1.26.0,PyPI,GHSA-jrm6-h9cq-8gqw,MODERATE,CVE-2023-36810,CWE-407,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-jrm6-h9cq-8gqw,
,lockfile,pypdf2,1.26.0,PyPI,GHSA-xcjx-m2pj-8g79,MODERATE,"CVE-2022-24859,PYSEC-2022-194",CWE-835,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-194,GHSA-xcjx-m2pj-8g79",
,lockfile,pypdf2,1.26.0,PyPI,PYSEC-2022-194,,"CVE-2022-24859,GHSA-xcjx-m2pj-8g79",,,"PYSEC-2022-194,GHSA-xcjx-m2pj-8g79",
,lockfile,pypdf2,1.27.0,PyPI,GHSA-jrm6-h9cq-8gqw,MODERATE,CVE-2023-36810,CWE-407,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-jrm6-h9cq-8gqw,
,lockfile,pypdf2,1.27.0,PyPI,GHSA-xcjx-m2pj-8g79,MODERATE,"CVE-2022-24859,PYSEC-2022-194",CWE-835,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-194,GHSA-xcjx-m2pj-8g79",
,lockfile,pypdf2,1.27.0,PyPI,PYSEC-2022-194,,"CVE-2022-24859,GHSA-xcjx-m2pj-8g79",,,"PYSEC-2022-194,GHSA-xcjx-m2pj-8g79",
,lockfile,pypdf2,2.10.0,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.10.3,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.10.5,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.10.5,PyPI,GHSA-hm9v-vj3r-r55m,MODERATE,CVE-2023-36807,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-hm9v-vj3r-r55m,
,lockfile,pypdf2,2.10.9,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.11.0,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.11.1,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.2.0,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,pypdf2,2.9.0,PyPI,GHSA-4vvm-4w3v-6mr8,MODERATE,CVE-2023-36464,CWE-835,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-4vvm-4w3v-6mr8,
,lockfile,twisted,18.7.0,PyPI,GHSA-32gv-6cf3-wcmq,CRITICAL,,,,GHSA-32gv-6cf3-wcmq,
,lockfile,twisted,18.7.0,PyPI,GHSA-65rm-h285-5cc5,CRITICAL,"CVE-2019-12855,PYSEC-2019-129",CWE-295,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,"PYSEC-2019-129,GHSA-65rm-h285-5cc5",
,lockfile,twisted,18.7.0,PyPI,GHSA-6cc5-2vg4-cc7m,MODERATE,"CVE-2019-12387,PYSEC-2019-128","CWE-74,CWE-93",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N,"PYSEC-2019-128,GHSA-6cc5-2vg4-cc7m",
,lockfile,twisted,18.7.0,PyPI,GHSA-8r99-h8j2-rw64,MODERATE,,,,GHSA-8r99-h8j2-rw64,
