Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
,lockfile,cairosvg,2.5.2,PyPI,GHSA-rwmf-w63j-p7gv,HIGH,"CVE-2023-27586,PYSEC-2023-9","CWE-20,CWE-918",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:N/SC:L/SI:H/SA:L,"PYSEC-2023-9,GHSA-rwmf-w63j-p7gv",
,lockfile,cairosvg,2.5.2,PyPI,PYSEC-2023-9,,"CVE-2023-27586,GHSA-rwmf-w63j-p7gv",,,"PYSEC-2023-9,GHSA-rwmf-w63j-p7gv",
,lockfile,cairosvg,2.6.0,PyPI,GHSA-rwmf-w63j-p7gv,HIGH,"CVE-2023-27586,PYSEC-2023-9","CWE-20,CWE-918",CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:N/SC:L/SI:H/SA:L,"PYSEC-2023-9,GHSA-rwmf-w63j-p7gv",
,lockfile,cairosvg,2.6.0,PyPI,PYSEC-2023-9,,"CVE-2023-27586,GHSA-rwmf-w63j-p7gv",,,"PYSEC-2023-9,GHSA-rwmf-w63j-p7gv",
,lockfile,flask-appbuilder,4.3.3,PyPI,GHSA-99pm-ch96-ccp2,MODERATE,CVE-2025-32962,CWE-601,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,GHSA-99pm-ch96-ccp2,
,lockfile,flask-appbuilder,4.3.3,PyPI,GHSA-fw5r-6m3x-rh7p,MODERATE,CVE-2024-45314,CWE-525,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:N/SC:L/SI:N/SA:N,GHSA-fw5r-6m3x-rh7p,
,lockfile,flask-appbuilder,4.3.3,PyPI,GHSA-j2pw-vp55-fqqj,CRITICAL,CVE-2024-25128,CWE-287,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,GHSA-j2pw-vp55-fqqj,
,lockfile,flask-appbuilder,4.3.3,PyPI,GHSA-p8q5-cvwx-wvwp,LOW,"CVE-2025-24023,PYSEC-2025-15",CWE-204,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"PYSEC-2025-15,GHSA-p8q5-cvwx-wvwp",
,lockfile,flask-appbuilder,4.3.3,PyPI,PYSEC-2025-15,,"CVE-2025-24023,GHSA-p8q5-cvwx-wvwp",,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,"PYSEC-2025-15,GHSA-p8q5-cvwx-wvwp",
,lockfile,flask-security-too,5.1.2,PyPI,GHSA-672h-6x89-76m5,MODERATE,"CVE-2023-49438,PYSEC-2023-248",CWE-601,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N,"PYSEC-2023-248,GHSA-672h-6x89-76m5",
,lockfile,flask-security-too,5.1.2,PyPI,PYSEC-2023-248,,"CVE-2023-49438,GHSA-672h-6x89-76m5",,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"PYSEC-2023-248,GHSA-672h-6x89-76m5",
,lockfile,pyinstaller,3.6,PyPI,GHSA-9w2p-rh8c-v9g5,HIGH,"CVE-2023-49797,PYSEC-2023-292","CWE-379,CWE-732",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"PYSEC-2023-292,GHSA-9w2p-rh8c-v9g5",
,lockfile,pyinstaller,3.6,PyPI,PYSEC-2023-292,,"CVE-2023-49797,GHSA-9w2p-rh8c-v9g5",,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"PYSEC-2023-292,GHSA-9w2p-rh8c-v9g5",
,lockfile,apache-airflow-providers-celery,3.3.2,PyPI,GHSA-666g-rfc5-c9jv,HIGH,"BIT-airflow-2023-46215,CVE-2023-46215",CWE-532,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-666g-rfc5-c9jv,
,lockfile,avro,1.10.2,PyPI,GHSA-rhrv-645h-fjfh,HIGH,"CVE-2023-39410,PYSEC-2023-188","CWE-20,CWE-502",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"PYSEC-2023-188,GHSA-rhrv-645h-fjfh",
