Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
,lockfile,fonttools,4.29.1,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.30.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.31.1,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.31.2,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.34.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.36.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.37.4,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.38.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.39.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.39.2,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.39.3,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.39.4,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.40.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.41.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.41.1,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.42.0,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,fonttools,4.42.1,PyPI,GHSA-6673-4983-2vx5,HIGH,CVE-2023-45139,CWE-611,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,GHSA-6673-4983-2vx5,
,lockfile,gradio,1.5.0,PyPI,GHSA-26jh-r8g2-6fpr,LOW,,,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,GHSA-26jh-r8g2-6fpr,
,lockfile,gradio,1.5.0,PyPI,GHSA-279j-x4gx-hfrh,HIGH,"CVE-2024-47871,PYSEC-2024-219",CWE-311,CVSS:4.0/AV:A/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,"PYSEC-2024-219,GHSA-279j-x4gx-hfrh",
